12500 1.727330e+01 4.046720e-01 1.919950e+00 -1.100160e+00 6.568730e-02 1.034480e+00 2.073400e-05
12600 8.940000e+00 3.387870e-01 1.935260e+00 -1.027660e+00 -1.746350e-02 1.045120e+00 2.211710e-05
12700 1.592560e+01 4.683300e-01 1.820460e+00 -1.034450e+00 -5.365130e-02 1.088110e+00 1.707250e-05
12800 9.044820e+00 2.998910e-01 1.781130e+00 -1.024540e+00 -3.164640e-02 1.056190e+00 1.626650e-05
12900 1.433390e+01 5.406120e-01 1.800070e+00 -9.952080e-01 -1.177010e-02 1.006980e+00 1.686620e-05
13000 1.529410e+01 4.021520e-01 1.859890e+00 -9.662520e-01 -3.561630e-02 1.001870e+00 1.887500e-05
13100 6.232790e+00 2.217650e-01 1.836840e+00 -1.031510e+00 4.225950e-03 1.027280e+00 1.734370e-05
13200 1.000670e+01 3.243350e-01 1.908350e+00 -1.012780e+00 1.121950e-02 1.001560e+00 2.187640e-05
13300 9.720250e+00 3.769260e-01 1.894240e+00 -1.079680e+00 -1.510540e-02 1.094780e+00 1.988980e-05
13400 1.568490e+01 5.212760e-01 1.942330e+00 -1.021640e+00 2.720790e-03 1.018920e+00 2.308700e-05
13500 1.247630e+01 4.527460e-01 1.791360e+00 -1.002130e+00 -1.671440e-02 1.018840e+00 1.601790e-05
13600 1.058420e+01 2.785220e-01 1.866710e+00 -9.725940e-01 -4.251290e-02 1.015110e+00 1.972370e-05
13700 1.214430e+01 4.337400e-01 1.830230e+00 -1.091400e+00 1.759320e-02 1.073800e+00 1.726070e-05
13800 1.009230e+01 4.233180e-01 1.847110e+00 -1.051740e+00 -1.022000e-02 1.061960e+00 1.812930e-05
13900 1.381720e+01 4.531380e-01 1.844960e+00 -1.030220e+00 -3.259290e-02 1.062810e+00 1.816150e-05
14000 1.426000e+01 4.141720e-01 1.979020e+00 -1.052290e+00 2.234360e-02 1.029950e+00 2.395500e-05
14100 1.035860e+01 4.008940e-01 1.704100e+00 -1.032880e+00 -3.285450e-02 1.065740e+00 1.304510e-05
